,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Class
125001,10.42.0.151-31.13.80.5-59534-443-6,10.42.0.151,59534,31.13.80.5,443,6,04/07/2017 02:38:20,196280,6,7,1080.0,201.0,537.0,0.0,180.0,260.24373191298963,137.0,0.0,28.714285714285715,50.07898523237828,6526.390870185449,66.23191359282657,16356.666666666668,33703.02596971304,119064.0,9.0,54767.0,10953.4,12840.099582947169,25388.0,147.0,173770.0,28961.666666666664,46092.74147918158,119064.0,9.0,0,0,0,0,200,232,30.568575504381496,35.66333808844508,0.0,537.0,91.5,183.26976753493116,33587.807692307695,0,0,0,1,0,0,0,0,1.0,98.53846153846152,180.0,28.714285714285715,200,0,0,0,0,0,0,6,1080,7,201,65535,122,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23212,174.129.31.175-10.42.0.211-443-42844-6,10.42.0.211,42844,174.129.31.175,443,6,11/07/2017 02:49:26,406472,10,8,1188.0,3607.0,517.0,0.0,118.8,212.70417642036716,1448.0,0.0,450.875,638.4992308978475,11796.630518215276,44.2834930819343,23910.11764705882,33268.48309188885,103620.0,20.0,406472.0,45163.55555555556,42384.63047235139,110014.0,185.0,334640.0,47805.71428571428,65242.82634822592,165602.0,20.0,0,0,0,0,328,264,24.601940601074613,19.68155248085969,0.0,1448.0,252.3684210526316,460.5727365075305,212127.2456140351,0,0,0,1,0,0,0,0,0.0,266.3888888888889,118.8,450.875,328,0,0,0,0,0,0,10,1188,8,3607,65535,123,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trojan
133212,205.185.216.42-10.42.0.42-80-58776-6,10.42.0.42,58776,205.185.216.42,80,6,04/07/2017 09:19:48,10095271,16,28,1172.0,30491.0,586.0,0.0,73.25,200.15710496174415,1448.0,0.0,1088.964285714286,589.8746559976618,3136.4190223323376,4.358476359871864,234773.7441860465,1523655.6055873071,9993635.0,3.0,101636.0,6775.733333333333,10880.170104149938,32519.0,5.0,10075360.0,373161.4814814815,1923753.546800976,9998928.0,3.0,0,0,0,0,520,904,1.5849004944988598,2.773575865373005,0.0,1448.0,703.6222222222223,690.9532048649397,477416.3313131314,0,0,0,1,0,0,0,0,1.0,719.6136363636364,73.25,1088.9642857142858,520,0,0,0,0,0,0,16,1172,28,30491,65535,30,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
127825,10.42.0.1-10.42.0.42-53-8427-17,10.42.0.42,8427,10.42.0.1,53,17,04/07/2017 03:40:38,1120,1,1,40.0,282.0,40.0,40.0,40.0,0.0,282.0,282.0,282.0,0.0,287500.0,1785.7142857142858,1120.0,0.0,1120.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,892.8571428571429,892.8571428571429,40.0,282.0,120.66666666666669,139.71876514388944,19521.333333333336,0,0,0,0,0,0,0,0,1.0,181.0,40.0,282.0,20,0,0,0,0,0,0,1,40,1,282,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
72225,10.42.0.1-10.42.0.42-53-50293-17,10.42.0.42,50293,10.42.0.1,53,17,17/07/2017 11:00:02,876188,1,1,32.0,166.0,32.0,32.0,32.0,0.0,166.0,166.0,166.0,0.0,225.9788995055856,2.2826151465210662,876188.0,0.0,876188.0,876188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,1.1413075732605331,1.1413075732605331,32.0,166.0,76.66666666666666,77.36493607140984,5985.333333333333,0,0,0,0,0,0,0,0,1.0,115.0,32.0,166.0,20,0,0,0,0,0,0,1,32,1,166,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trojan
91851,162.222.180.126-10.42.0.42-5001-42207-6,10.42.0.42,42207,162.222.180.126,5001,6,30/06/2017 05:26:20,995618,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0088025728743357,995618.0,0.0,995618.0,995618.0,995618.0,995618.0,0.0,995618.0,995618.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,2.0088025728743357,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,2,0,0,0,65535,-1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
74577,10.42.0.42-123.125.142.43-58175-80-6,10.42.0.42,58175,123.125.142.43,80,6,17/07/2017 01:43:42,533,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3752.3452157598495,533.0,0.0,533.0,533.0,533.0,533.0,0.0,533.0,533.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3752.3452157598495,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trojan
48238,10.42.0.42-64.71.142.96-34214-80-6,10.42.0.42,34214,64.71.142.96,80,6,14/07/2017 09:37:50,7081449,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2824280736894384,7081449.0,0.0,7081449.0,7081449.0,7081449.0,7081449.0,0.0,7081449.0,7081449.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.2824280736894384,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trojan
88773,174.35.73.134-10.42.0.151-80-34619-6,10.42.0.151,34619,174.35.73.134,80,6,11/07/2017 11:20:45,6366225,5,5,546.0,1223.0,546.0,0.0,109.2,244.178623143,730.0,0.0,244.6,345.2546885996,277.8726796492,1.5707895967,707358.333333333,2101291.47374353,6310745.0,31.0,55480.0,13870.0,15870.0813482477,27756.0,90.0,6342834.0,1585708.5,3151654.35831475,6313153.0,31.0,0,0,0,0,168,168,0.7853947983,0.7853947983,0.0,730.0,160.8181818182,280.9942412868,78957.7636363636,0,0,0,1,0,0,0,0,1.0,176.9,109.2,244.6,168,0,0,0,0,0,0,5,546,5,1223,65535,675,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trojan
143060,219.142.78.217-10.42.0.42-80-53462-6,10.42.0.42,53462,219.142.78.217,80,6,05/07/2017 04:41:54,580718,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.444012412220734,580718.0,0.0,580718.0,580718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,1.722006206110367,1.722006206110367,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1641,175,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
117618,172.217.12.206-10.42.0.42-443-59512-6,10.42.0.42,59512,172.217.12.206,443,6,02/07/2017 06:20:37,816749,8,10,631.0,5102.0,311.0,0.0,78.875,119.79916229137116,1418.0,0.0,510.2,641.8578589618663,7019.292340731364,22.038594476393605,48044.05882352941,59430.14789068612,178409.0,3.0,816749.0,116678.42857142858,70747.78241013904,197625.0,6639.0,637815.0,70868.33333333333,110686.2316178033,283980.0,3.0,0,0,0,0,264,328,9.794930878397158,12.243663597996449,0.0,1418.0,301.7368421052632,512.6862633993255,262847.2046783626,0,0,0,1,0,0,0,0,1.0,318.5,78.875,510.2,264,0,0,0,0,0,0,8,631,10,5102,65535,349,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
83414,172.217.12.174-10.42.0.42-80-50150-6,172.217.12.174,80,10.42.0.42,50150,6,17/07/2017 03:23:42,104600,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.120458891013385,104600.0,0.0,104600.0,104600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,9.560229445506693,9.560229445506693,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,340,1369,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trojan
105519,10.42.0.42-58.63.236.212-35679-443-6,10.42.0.42,35679,58.63.236.212,443,6,02/07/2017 12:30:03,7834829,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2552704085819869,7834829.0,0.0,7834829.0,7834829.0,7834829.0,7834829.0,0.0,7834829.0,7834829.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.2552704085819869,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1780,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
133197,10.42.0.42-106.39.169.66-53964-80-6,10.42.0.42,53964,106.39.169.66,80,6,04/07/2017 09:19:56,58330,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.287673581347505,58330.0,0.0,58330.0,58330.0,58330.0,58330.0,0.0,58330.0,58330.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,34.287673581347505,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
40740,10.42.0.42-64.71.142.96-60811-80-6,10.42.0.42,60811,64.71.142.96,80,6,13/07/2017 03:50:57,40648037,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492028680253366,40648037.0,0.0,40648037.0,40648037.0,40648037.0,40648037.0,0.0,40648037.0,40648037.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,52,0,0.0492028680253366,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,52,0,0,0,0,0,0,2,0,0,0,1734,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trojan
82587,10.42.0.42-54.192.36.60-33004-80-6,10.42.0.42,33004,54.192.36.60,80,6,17/07/2017 03:36:20,2037177,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9817507266182568,2037177.0,0.0,2037177.0,2037177.0,2037177.0,2037177.0,0.0,2037177.0,2037177.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,0.9817507266182568,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,2202,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trojan
66647,172.217.9.232-10.42.0.42-443-51049-6,10.42.0.42,51049,172.217.9.232,443,6,14/07/2017 03:45:27,397316,9,7,867.0,4439.0,607.0,0.0,96.33333333333331,200.8662490315384,1418.0,0.0,634.1428571428571,612.4395013853556,13354.609429270404,40.27021313010299,26487.733333333334,40545.8650973837,158443.0,5.0,397316.0,49664.5,52406.68289172943,158443.0,1223.0,325118.0,54186.333333333336,75505.94005683703,199525.0,5.0,0,0,0,0,296,232,22.65199488568293,17.61821824442006,0.0,1418.0,312.11764705882354,488.34259008826746,238478.4852941176,0,0,0,1,0,0,0,0,0.0,331.625,96.33333333333331,634.1428571428571,296,0,0,0,0,0,0,9,867,7,4439,65535,350,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trojan
7987,10.42.0.211-10.42.0.1-9145-53-17,10.42.0.211,9145,10.42.0.1,53,17,11/07/2017 10:16:27,32073,1,1,37.0,77.0,37.0,37.0,37.0,0.0,77.0,77.0,77.0,0.0,3554.391544289589,62.35774639104543,32073.0,0.0,32073.0,32073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,44,31.17887319552272,31.17887319552272,37.0,77.0,50.333333333333336,23.094010767585036,533.3333333333334,0,0,0,0,0,0,0,0,1.0,75.5,37.0,77.0,44,0,0,0,0,0,0,1,37,1,77,-1,-1,0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trojan
167491,10.42.0.42-104.254.66.16-47389-80-6,10.42.0.42,47389,104.254.66.16,80,6,05/07/2017 09:18:02,360889,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.541870214941436,360889.0,0.0,360889.0,360889.0,360889.0,360889.0,0.0,360889.0,360889.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,5.541870214941436,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
